,spam,text,crowd,spanish,language,english
1599,0,"Daddy will take good care of you :)
",0,"Papá te cuidará bien :)
",en,"Daddy will take good care of you :)
"
1600,0,"Yeah probably, I still gotta check out with leo
",0,"Sí, probablemente, todavía tengo que ver con Leo
",en,"Yeah probably, I still gotta check out with leo
"
1601,0,"K.then any other special?
",0,"K. ¿Entonces cualquier otro especial?
",en,"K.then any other special?
"
1602,0,"Carlos is taking his sweet time as usual so let me know when you and patty are done/want to smoke and I'll tell him to haul ass
",0,"Carlos se está tomando su dulce tiempo como siempre, así que avísame cuando tú y Patty hayan terminado/quieran fumar y le diré que lleve el culo
",en,"Carlos is taking his sweet time as usual so let me know when you and patty are done/want to smoke and I'll tell him to haul ass
"
1603,0,"Ok pa. Nothing problem:-)
",0,"Ok Pa. Ningún problema:-)
",en,"Ok pa. Nothing problem:-)
"
1604,0,"Have you heard about that job? I'm going to that wildlife talk again tonight if u want2come. Its that2worzels and a wizzle or whatever it is?! 
",0,"¿Has oído hablar de ese trabajo? Voy a esa charla de vida silvestre de nuevo esta noche si quieres 2come. ¿Es eso 2worzels y un chiflado o lo que sea?
",en,"Have you heard about that job? I'm going to that wildlife talk again tonight if u want2come. Its that2worzels and a wizzle or whatever it is?! 
"
1605,0,"God picked up a flower and dippeditinaDEW, lovingly touched itwhichturnedinto u, and the he gifted tomeandsaid,THIS FRIEND IS 4U
",0,"Dios recogió una flor y diptinadew, lo tocó amorosamente que se quemó, y el dotado de Tomeanddsaid, este amigo tiene 4u
",en,"God picked up a flower and dippeditinaDEW, lovingly touched itwhichturnedinto u, and the he gifted tomeandsaid,THIS FRIEND IS 4U
"
1606,0,"When you came to hostel.
",0,"Cuando viniste al albergue.
",en,"When you came to hostel.
"
1607,0,"Ok no prob... I'll come after lunch then...
",0,"Ok, no hay problema ... vendré después del almuerzo entonces ...
",en,"Ok no prob... I'll come after lunch then...
"
1608,0,"Jus telling u dat i'll b leaving 4 shanghai on 21st instead so we'll haf more time 2 meet up cya...
",0,"Jus diciéndole que me dejaré 4 Shanghai el 21, así que tendremos más tiempo 2 reunirnos con Cya ...
",en,"Jus telling u dat i'll b leaving 4 shanghai on 21st instead so we'll haf more time 2 meet up cya...
"
1609,0,"Are your freezing ? Are you home yet ? Will you remember to kiss your mom in the morning? Do you love me ? Do you think of me ? Are you missing me yet ?
",0,"¿Tu congelación está? Estás aún en casa ? ¿Recordarás besar a tu madre por la mañana? Me amas ? Piensas en mi ? ¿Ya me estás extrañando?
",en,"Are your freezing ? Are you home yet ? Will you remember to kiss your mom in the morning? Do you love me ? Do you think of me ? Are you missing me yet ?
"
1610,0,"You all ready for * big day tomorrow?
",0,"¿Están todos listos para * GRAN DÍA Mañana?
",en,"You all ready for * big day tomorrow?
"
1611,0,"I'll probably be around mu a lot
",0,"Probablemente estaré mucho cerca de MU
",en,"I'll probably be around mu a lot
"
1612,0,645,0,645,und,645
1613,1,"RT-KIng Pro Video Club>> Need help? info@ringtoneking.co.uk or call 08701237397 You must be 16+ Club credits redeemable at www.ringtoneking.co.uk! Enjoy!
",0,"RT-King Pro Video Club >> ¿Necesita ayuda? info@ringtonking.co.uk o llame al 08701237397 ¡Debe ser más de 16 créditos del club redimibles en www.ringtonking.co.uk! ¡Disfrutar!
",en,"RT-KIng Pro Video Club>> Need help? info@ringtoneking.co.uk or call 08701237397 You must be 16+ Club credits redeemable at www.ringtoneking.co.uk! Enjoy!
"
1614,0,"Thnx dude. u guys out 2nite?
",0,"Thnx dude. ¿Ustedes salen 2nite?
",en,"Thnx dude. u guys out 2nite?
"
1615,0,"Me sef dey laugh you. Meanwhile how's my darling anjie!
",0,"Yo sef ríe tú. Mientras tanto, ¿cómo está mi querido Anjie!
",en,"Me sef dey laugh you. Meanwhile how's my darling anjie!
"
1616,0,"Mm i had my food da from out
",0,"Mm tenía mi comida de fuera
",en,"Mm i had my food da from out
"
1617,0,"K, makes sense, btw carlos is being difficult so you guys are gonna smoke while I go pick up the second batch and get gas
",0,"K, tiene sentido, por cierto, Carlos está siendo difícil, por lo que ustedes van a fumar mientras recogen el segundo lote y obtienen gasolina
",en,"K, makes sense, btw carlos is being difficult so you guys are gonna smoke while I go pick up the second batch and get gas
"
1618,0,"Did u download the fring app?
",0,"¿Descargaste la aplicación Fring?
",en,"Did u download the fring app?
"
1619,0,"The 2 oz guy is being kinda flaky but one friend is interested in picking up $ &lt;#&gt;  worth tonight if possible
",0,"El chico de 2 oz está siendo un poco escamoso, pero un amigo está interesado en recoger $ & lt;#& gt; Vale la pena esta noche si es posible
",en,"The 2 oz guy is being kinda flaky but one friend is interested in picking up $ &lt;#&gt;  worth tonight if possible
"
1620,0,"Friends that u can stay on fb chat with
",0,"Amigos con los que puedes quedarte en chatear FB
",en,"Friends that u can stay on fb chat with
"
1621,0,"Fuck babe, I miss you sooooo much !! I wish you were here to sleep with me ... My bed is so lonely ... I go now, to sleep ... To dream of you, my love ...
",0,"Joder nena, te extraño mucho !! Ojalá estuvieras aquí para dormir conmigo ... mi cama está tan sola ... ahora voy, a dormir ... para soñar contigo, mi amor ...
",en,"Fuck babe, I miss you sooooo much !! I wish you were here to sleep with me ... My bed is so lonely ... I go now, to sleep ... To dream of you, my love ...
"
1622,0,"Living is very simple.. Loving is also simple.. Laughing is too simple.. Winning is tooo simple.. But, being 'SIMPLE' is very difficult.. Gud nte.:-
",0,"Vivir es muy simple ... El amor también es simple ... La risa es demasiado simple ... ganar es demasiado simple ... pero, ser ""simple"" es muy difícil ... gud nte.:-
",en,"Living is very simple.. Loving is also simple.. Laughing is too simple.. Winning is tooo simple.. But, being 'SIMPLE' is very difficult.. Gud nte.:-
"
1623,1,"U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094599
",0,"Tienes un admirador secreto que mira 2 hacer contacto con U-Find Out Whre They R*revela quién piensa que eres tan especial en 09058094599
",en,"U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094599
"
1624,0,"Ah, well that confuses things, doesn‘t it?
",0,"Ah, bueno, eso confunde las cosas, ¿no es así?
",en,"Ah, well that confuses things, doesn‘t it?
"
1625,1,"500 free text msgs. Just text ok to 80488 and we'll credit your account
",0,"500 Msgs de texto gratuito. Solo envíe un mensaje de texto bien al 80488 y acreditaremos su cuenta
",en,"500 free text msgs. Just text ok to 80488 and we'll credit your account
"
1626,0,"Hi Dear Call me its urgnt. I don't know whats your problem. You don't want to work or if you have any other problem at least tell me. Wating for your reply.
",0,"Hola querida llámame es urgnt. No sé cuál es tu problema. No quieres trabajar o si tienes algún otro problema al menos dígame. Wating para su respuesta.
",en,"Hi Dear Call me its urgnt. I don't know whats your problem. You don't want to work or if you have any other problem at least tell me. Wating for your reply.
"
1627,0,"Dear how you. Are you ok?
",0,"Estimado como tú. ¿Estás bien?
",en,"Dear how you. Are you ok?
"
1628,1,"You have been selected to stay in 1 of 250 top British hotels - FOR NOTHING! Holiday Worth £350! To Claim, Call London 02072069400. Bx 526, SW73SS
",0,"Ha sido seleccionado para permanecer en 1 de 250 hoteles británicos principales, ¡por nada! ¡Holiday por valor de £ 350! Para reclamar, llame a Londres 02072069400. BX 526, SW73SS
",en,"You have been selected to stay in 1 of 250 top British hotels - FOR NOTHING! Holiday Worth £350! To Claim, Call London 02072069400. Bx 526, SW73SS
"
1629,0,"Yes princess! I want to make you happy...
",0,"¡Si, princesa! Quiero hacerte feliz...
",en,"Yes princess! I want to make you happy...
"
1630,0,"Sounds like you have many talents! would you like to go on a dinner date next week?
",0,"¡Parece que tienes muchos talentos! ¿Te gustaría ir a cenar la próxima semana?
",en,"Sounds like you have many talents! would you like to go on a dinner date next week?
"
1631,0,"I am going to film 2day da. At 6pm. Sorry da.
",0,"Voy a filmar 2 días DA. A las 6 pm. Lo siento da.
",en,"I am going to film 2day da. At 6pm. Sorry da.
"
1632,0,"We not watching movie already. Xy wants 2 shop so i'm shopping w her now.
",0,"Ya no vemos películas. XY quiere 2 tiendas, así que estoy de compras con ella ahora.
",en,"We not watching movie already. Xy wants 2 shop so i'm shopping w her now.
"
1633,0,"Hello my little party animal! I just thought I'd buzz you as you were with your friends ...*grins*... Reminding you were loved and send a naughty adoring kiss
",0,"¡Hola mi pequeño animal de fiesta! Solo pensé que te haría volar como estabas con tus amigos ...*sonríe*... recordando que fuiste amado y enviaba un beso travieso adorado
",en,"Hello my little party animal! I just thought I'd buzz you as you were with your friends ...*grins*... Reminding you were loved and send a naughty adoring kiss
"
1634,0,"Yesterday its with me only . Now am going home.
",0,"Ayer está solo conmigo. Ahora me voy a casa.
",en,"Yesterday its with me only . Now am going home.
"
1635,1,"Eerie Nokia tones 4u, rply TONE TITLE to 8007 eg TONE DRACULA to 8007 Titles: GHOST, ADDAMSFA, MUNSTERS, EXORCIST, TWILIGHT www.getzed.co.uk POBox36504W45WQ 150p
",0,"Eerie Nokia Tones 4U, Rply Tone Title to 8007 Eg Tone Drácula a 8007 títulos: Ghost, Addamsfa, Munsters, Exorcist, Twilight www.getzed.co.uk POBOX36504W45WQ 150P
",en,"Eerie Nokia tones 4u, rply TONE TITLE to 8007 eg TONE DRACULA to 8007 Titles: GHOST, ADDAMSFA, MUNSTERS, EXORCIST, TWILIGHT www.getzed.co.uk POBox36504W45WQ 150p
"
1636,0,"You have come into my life and brought the sun ..Shiny down on me, warming my heart. Putting a constant smile on my face ... Making me feel loved and cared for
",0,"Has entrado en mi vida y me has traído el sol. Poniendo una sonrisa constante en mi rostro ... haciéndome sentir amado y preocupado
",en,"You have come into my life and brought the sun ..Shiny down on me, warming my heart. Putting a constant smile on my face ... Making me feel loved and cared for
"
1637,0,"No shit, but I wasn't that surprised, so I went and spent the evening with that french guy I met in town here and we fooled around a bit but I didn't let him fuck me
",0,"No hay mierda, pero no estaba tan sorprendido, así que fui y pasé la noche con ese francés que conocí en la ciudad aquí y nos engañamos un poco, pero no dejé que me follara
",en,"No shit, but I wasn't that surprised, so I went and spent the evening with that french guy I met in town here and we fooled around a bit but I didn't let him fuck me
"
1638,1,"0A$NETWORKS allow companies to bill for SMS, so they are responsible for their ""suppliers"", just as a shop has to give a guarantee on what they sell. B. G.
",0,"Las redes 0a $ permiten a las empresas facturar por SMS, por lo que son responsables de sus ""proveedores"", así como una tienda tiene que garantizar lo que venden. B. G.
",en,"0A$NETWORKS allow companies to bill for SMS, so they are responsible for their ""suppliers"", just as a shop has to give a guarantee on what they sell. B. G.
"
1639,0,"Great comedy..cant stop laughing da:)
",0,"Gran comedia ... ¿Deja de reír a reír :)
",en,"Great comedy..cant stop laughing da:)
"
1640,1,"FreeMsg:Feelin kinda lnly hope u like 2 keep me company! Jst got a cam moby wanna c my pic?Txt or reply DATE to 82242 Msg150p 2rcv Hlp 08712317606 stop to 82242
",0,"Freemsg: Sentir un poco espero que te guste 2 Mantenme compañía! Jst obtuvo una cámara moby quiere c mi foto?
",en,"FreeMsg:Feelin kinda lnly hope u like 2 keep me company! Jst got a cam moby wanna c my pic?Txt or reply DATE to 82242 Msg150p 2rcv Hlp 08712317606 stop to 82242
"
1641,0,"Alright, we're all set here, text the man
",0,"Muy bien, todos estamos configurados aquí, envíe un mensaje de texto al hombre
",en,"Alright, we're all set here, text the man
"
1642,0,"Hi , where are you? We're at  and they're not keen to go out i kind of am but feel i shouldn't so can we go out tomo, don't mind do you?
",0,"¿Hola Dónde estás? Estamos en y no están ansiosos por salir, lo soy, pero siento que no debería, así que podemos salir de Tomo, ¿no te importa?
",en,"Hi , where are you? We're at  and they're not keen to go out i kind of am but feel i shouldn't so can we go out tomo, don't mind do you?
"
1643,0,"Sleeping nt feeling well
",0,"Dormir nt sintiéndose bien
",en,"Sleeping nt feeling well
"
1644,0,"U WILL SWITCH YOUR FONE ON DAMMIT!!
",0,"¡Cambiarás tu fone en maldita sea!
",en,"U WILL SWITCH YOUR FONE ON DAMMIT!!
"
1645,0,"India have to take lead:)
",0,"India tiene que tomar liderazgo :)
",en,"India have to take lead:)
"
1646,0,"I.ll post her out l8r. In class
",0,"Publicarála l8r. En la clase
",en,"I.ll post her out l8r. In class
"
1647,0,"Thts wat Wright Brother did to fly..
",0,"El hermano de Wat Wright hizo que volar ...
",en,"Thts wat Wright Brother did to fly..
"
1648,0,"Evening * v good if somewhat event laden. Will fill you in, don't you worry … Head * ok but throat * wrecked. See you at six then!
",0,"Evening * v Bien si es un evento cargado. Te llenaré, no te preocupes ... cabeza * ok pero garganta * destrozó. ¡Nos vemos a las seis entonces!
",en,"Evening * v good if somewhat event laden. Will fill you in, don't you worry … Head * ok but throat * wrecked. See you at six then!
"
1649,0,"If u laugh really loud.. If u talk spontaneously.. If u dont care what others feel.. U are probably with your dear &amp; best friends.. GOODEVENING Dear..:)
",0,"Si te ríes muy fuerte ... si hablas espontáneamente ... si no te importa lo que sientan los demás ... probablemente estés con tu querido y amp; mejores amigos .. Buenos días queridos .. :)
",en,"If u laugh really loud.. If u talk spontaneously.. If u dont care what others feel.. U are probably with your dear &amp; best friends.. GOODEVENING Dear..:)
"
1650,0,"ITS A LAPTOP TAKE IT WITH YOU.
",0,"Es una computadora portátil llévala contigo.
",en,"ITS A LAPTOP TAKE IT WITH YOU.
"
1651,0,"I dont have any of your file in my bag..i was in work when you called me.i 'll tell you if i find anything in my room.
",0,"No tengo ninguno de tu archivo en mi bolso ... estaba en el trabajo cuando me llamaste. Te diré si encuentro algo en mi habitación.
",en,"I dont have any of your file in my bag..i was in work when you called me.i 'll tell you if i find anything in my room.
"
1652,0,"I wan but too early lei... Me outside now wun b home so early... Neva mind then...
",0,"Yo disminuyo pero demasiado temprano lei ... yo afuera ahora wun b casa tan temprano ... neva mente entonces ...
",en,"I wan but too early lei... Me outside now wun b home so early... Neva mind then...
"
1653,1,"For ur chance to win a £250 cash every wk TXT: ACTION to 80608. T's&C's www.movietrivia.tv custcare 08712405022, 1x150p/wk
",0,"Para su oportunidad de ganar un efectivo de £ 250 cada semana TXT: acción a 80608. Www.movietrivia.tv custcare 08712405022 de T.
",en,"For ur chance to win a £250 cash every wk TXT: ACTION to 80608. T's&C's www.movietrivia.tv custcare 08712405022, 1x150p/wk
"
1654,0,"I was at bugis juz now wat... But now i'm walking home oredi... Ü so late then reply... I oso saw a top dat i like but din buy... Where r ü now? 
",0,"Estuve en Bugis Juz ahora Wat ... pero ahora estoy caminando a casa oredi ... ü tan tarde y luego respondí ... Oso vi a un top que me gusta pero compra ... ¿dónde está ahora?
",en,"I was at bugis juz now wat... But now i'm walking home oredi... Ü so late then reply... I oso saw a top dat i like but din buy... Where r ü now? 
"
1655,0,"Wishing you and your family Merry ""X"" mas and HAPPY NEW Year in advance..
",0,"Deseándole a usted y a su familia Merry ""X"" Mas y feliz año nuevo de antemano.
",en,"Wishing you and your family Merry ""X"" mas and HAPPY NEW Year in advance..
"
1656,0,"At 7 we will go ok na.
",0,"A las 7 iremos bien na.
",en,"At 7 we will go ok na.
"
1657,0,"Yes I posted a couple of pics on fb. There's still snow outside too. I'm just waking up :)
",0,"Sí, publiqué un par de fotos en FB. Todavía hay nieve afuera también. Solo estoy despertando :)
",en,"Yes I posted a couple of pics on fb. There's still snow outside too. I'm just waking up :)
"
1658,0,"S:-)if we have one good partnership going we will take lead:)
",0,"S :-) Si tenemos una buena asociación, tomaremos liderazgo :)
",en,"S:-)if we have one good partnership going we will take lead:)
"
1659,1,"RGENT! This is the 2nd attempt to contact U!U have WON £1250 CALL 09071512433 b4 050703 T&CsBCM4235WC1N3XX. callcost 150ppm mobilesvary. max£7. 50
",0,"¡Rgent! Este es el segundo intento de contactar a U! U Han ganado £ 1250 llame al 09071512433 B4 050703 T & CSBCM4235WC1N3XX. callcost 150ppm Mobilesvary. Max £ 7. 50
",en,"RGENT! This is the 2nd attempt to contact U!U have WON £1250 CALL 09071512433 b4 050703 T&CsBCM4235WC1N3XX. callcost 150ppm mobilesvary. max£7. 50
"
1660,0,"Yeah, where's your class at?
",0,"Sí, ¿dónde está tu clase?
",en,"Yeah, where's your class at?
"
1661,0,"No just send to you. Bec you in temple na.
",0,"No solo envíeste. Bélo en el templo na.
",en,"No just send to you. Bec you in temple na.
"
1662,0,"You aren't coming home between class, right? I need to work out and shower!
",0,"No estás llegando a casa entre clase, ¿verdad? ¡Necesito hacer ejercicio y ducharme!
",en,"You aren't coming home between class, right? I need to work out and shower!
"
1663,1,"Hi if ur lookin 4 saucy daytime fun wiv busty married woman Am free all next week Chat now 2 sort time 09099726429 JANINExx Calls£1/minMobsmoreLKPOBOX177HP51FL
",0,"Hola, si te ves 4, saucy Daytime Fun Wiv Wiv Casado Casado Mujer soy Libre todo el próximo Chat de la próxima semana AHORA 2 Tiempo de clasificación 09099726429 Janinexx llama a £ 1/minmobsmorelkpobox177hp51fl
",en,"Hi if ur lookin 4 saucy daytime fun wiv busty married woman Am free all next week Chat now 2 sort time 09099726429 JANINExx Calls£1/minMobsmoreLKPOBOX177HP51FL
"
1664,0,"S but mostly not like that.
",0,"S pero sobre todo no así.
",en,"S but mostly not like that.
"
1665,0,"Ü v ma fan...
",0,"Ü v mi fan ...
",ro,"Ü v ma fan...
"
1666,0,"Dunno cos i was v late n when i reach they inside already... But we ate spageddies lor... It's e gals who r laughing at me lor...
",0,"No sé porque llegué tarde y cuando llegué a ellos ya ... pero comimos Spageddies para ... son las chicas quienes se ríen de mí para ...
",en,"Dunno cos i was v late n when i reach they inside already... But we ate spageddies lor... It's e gals who r laughing at me lor...
"
1667,0,"Guess who spent all last night phasing in and out of the fourth dimension
",0,"Adivina quién pasó todos anoche que fase y salió de la cuarta dimensión
",en,"Guess who spent all last night phasing in and out of the fourth dimension
"
1668,0,"So now my dad is gonna call after he gets out of work and ask all these crazy questions.
",0,"Así que ahora mi papá llamará después de que salga del trabajo y haga todas estas preguntas locas.
",en,"So now my dad is gonna call after he gets out of work and ask all these crazy questions.
"
1669,0,"Yes..but they said its IT.,
",0,"Sí ... pero dijeron que es todo.
",en,"Yes..but they said its IT.,
"
1670,0,"Very hurting n meaningful lines ever: ""I compromised everything for my love, But at d end my love compromised me for everything:-("".. Gud mornin:-)
",0,"Muy dolor y líneas significativas nunca: ""Comprometí todo por mi amor, pero al final de mi amor me comprometió por todo :-("" .. Gud Mornin :-)
",en,"Very hurting n meaningful lines ever: ""I compromised everything for my love, But at d end my love compromised me for everything:-("".. Gud mornin:-)
"
1671,0,"Lmao!nice 1
",0,"LMAO! Bonito 1
",en,"Lmao!nice 1
"
1672,0,"Glad to see your reply.
",0,"Me alegro de ver tu respuesta.
",en,"Glad to see your reply.
"
1673,1,"URGENT! We are trying to contact U. Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050001295 from land line. Claim A21. Valid 12hrs only
",0,"¡URGENTE! Estamos tratando de comunicarse con los programas de sorteo de hoy en los Estados Unidos que ha ganado un premio de £ 800 garantizado. Llame al 09050001295 desde la línea fija. Reclamación A21. Válido 12 horas solamente
",en,"URGENT! We are trying to contact U. Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050001295 from land line. Claim A21. Valid 12hrs only
"
1674,1,"Monthly password for wap. mobsi.com is 391784. Use your wap phone not PC.
",0,"Contraseña mensual para WAP. Mobsi.com es 391784. Use su teléfono WAP, no PC.
",en,"Monthly password for wap. mobsi.com is 391784. Use your wap phone not PC.
"
1675,0,"Nah dub but je still buff
",0,"Nah dub pero je todavía aficionado
",en,"Nah dub but je still buff
"
1676,0,"Painful words- ""I thought being Happy was the most toughest thing on Earth... But, the toughest is acting Happy with all unspoken pain inside..""
",0,"Palabras dolorosas: ""Pensé que ser feliz era la cosa más difícil de la tierra ... pero lo más duro es actuar feliz con todo dolor tácito en el interior ...""
",en,"Painful words- ""I thought being Happy was the most toughest thing on Earth... But, the toughest is acting Happy with all unspoken pain inside..""
"
1677,0,"Yeah, that's fine! It's £6 to get in, is that ok? 
",0,"¡Si, esta bien! Es £ 6 para entrar, ¿está bien?
",en,"Yeah, that's fine! It's £6 to get in, is that ok? 
"
1678,0,"Lol where do u come up with these ideas?
",0,"LOL ¿Dónde se te ocurren estas ideas?
",en,"Lol where do u come up with these ideas?
"
1679,0,"So many people seems to be special at first sight, But only very few will remain special to you till your last sight.. Maintain them till life ends.. Sh!jas
",0,"Mucha gente parece ser especial a primera vista, pero solo muy pocos seguirán siendo especial para ti hasta tu última vista ... manténgalos hasta que termine la vida ... sh! Jas
",en,"So many people seems to be special at first sight, But only very few will remain special to you till your last sight.. Maintain them till life ends.. Sh!jas
"
1680,0,"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...
",0,"Hoy es ""Song Dedicated Day .."" ¿Qué canción dedicarás a mí? Envía esto a todos tus valiosos amigos, pero primero me plantea ...
",en,"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...
"
1681,0,"Okay... We wait ah
",0,"Está bien ... esperamos ah
",en,"Okay... We wait ah
"
1682,0,"Y lei?
",0,"Y lei?
",es,"Y lei?
"
1683,0,"HI BABE U R MOST LIKELY TO BE IN BED BUT IM SO SORRY ABOUT TONIGHT! I REALLY WANNA SEE U TOMORROW SO CALL ME AT 9. LOVE ME XXX
",0,"Hola nena, es más probable que estés en la cama, ¡pero lo siento mucho esta noche! Realmente quiero verte mañana, así que llámame a las 9. Ámame xxx
",en,"HI BABE U R MOST LIKELY TO BE IN BED BUT IM SO SORRY ABOUT TONIGHT! I REALLY WANNA SEE U TOMORROW SO CALL ME AT 9. LOVE ME XXX
"
1684,0,"Already am squatting is the new way of walking
",0,"Ya estoy en cuclillas es la nueva forma de caminar
",en,"Already am squatting is the new way of walking
"
1685,0,"Do you want bold 2 or bb torch
",0,"¿Quieres audaz 2 o bb de antorcha?
",en,"Do you want bold 2 or bb torch
"
1686,0,"Cramps stopped. Going back to sleep
",0,"Los calambres se detuvieron. Volviendo a dormir
",en,"Cramps stopped. Going back to sleep
"
1687,1,"todays vodafone numbers ending with 0089(my last four digits) are selected to received a £350 award. If your number matches please call 09063442151 to claim your £350 award
",0,"Los números de Vodafone de hoy que terminan con 0089 (mis últimos cuatro dígitos) se seleccionan para recibir un premio de £ 350. Si su número coincide, llame al 09063442151 para reclamar su premio de £ 350
",en,"todays vodafone numbers ending with 0089(my last four digits) are selected to received a £350 award. If your number matches please call 09063442151 to claim your £350 award
"
1688,1,"Free Top ringtone -sub to weekly ringtone-get 1st week free-send SUBPOLY to 81618-?3 per week-stop sms-08718727870
",0,"Tono de llamada superior gratuito: subpoly de mensaje libre de tono de llamada semanal a 81618-? 3 por semanal SMS-08718727870
",en,"Free Top ringtone -sub to weekly ringtone-get 1st week free-send SUBPOLY to 81618-?3 per week-stop sms-08718727870
"
1689,0,"Nan sonathaya soladha. Why boss?
",0,"Nan Sonathaya Soladha. ¿Por qué jefe?
",ta,"Nan sonathaya soladha. Why boss?
"
1690,0,"Bring tat cd don forget
",0,"Trae Tat CD Don Forget
",en,"Bring tat cd don forget
"
1691,1,"Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone
",0,"Sunshine cuestione wkly q! ¿Gana un jugador de DVD de Sony si sabes en qué país se encuentra el Algarve? TXT ANSR a 82277. £ 1.50 SP: Tyrone
",en,"Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone
"
1692,0,"I don't know but I'm raping dudes at poker
",0,"No lo sé, pero estoy violando tipos en el póker
",en,"I don't know but I'm raping dudes at poker
"
1693,0,"Weightloss! No more girl friends. Make loads of money on ebay or something. And give thanks to God.
",0,"¡Pérdida de peso! No más amigas. Gana mucho dinero en eBay o algo así. Y da gracias a Dios.
",en,"Weightloss! No more girl friends. Make loads of money on ebay or something. And give thanks to God.
"
1694,0,"Was gr8 to see that message. So when r u leaving? Congrats dear. What school and wat r ur plans.
",0,"Fue gr8 para ver ese mensaje. Entonces, ¿cuándo te vas? Felicidades queridos. Qué escuela y wat r tus planes.
",en,"Was gr8 to see that message. So when r u leaving? Congrats dear. What school and wat r ur plans.
"
1695,0,"Ü eatin later but i'm eatin wif my frens now lei... Ü going home first? 
",0,"Ü comer más tarde, pero estoy comiendo wif mis frens ahora lei ... ü ¿yendo a casa primero?
",en,"Ü eatin later but i'm eatin wif my frens now lei... Ü going home first? 
"
1696,0,"Finish already... Yar they keep saying i mushy... I so embarrassed ok...
",0,"Termina ya ... yar siguen diciendo que soy blando ... me avergüenzé bien ...
",en,"Finish already... Yar they keep saying i mushy... I so embarrassed ok...
"
1697,0,"Sorry man, my stash ran dry last night and I can't pick up more until sunday
",0,"Lo siento hombre, mi alijo se secó anoche y no puedo recoger más hasta el domingo
",en,"Sorry man, my stash ran dry last night and I can't pick up more until sunday
"
1698,0,"Hai priya are you right. What doctor said pa. Where are you.
",0,"Hai Priya tienes razón. Lo que el médico dijo PA. Dónde estás.
",en,"Hai priya are you right. What doctor said pa. Where are you.
"
1699,1,"Free msg. Sorry, a service you ordered from 81303 could not be delivered as you do not have sufficient credit. Please top up to receive the service.
",0,"Msg gratis. Lo sentimos, no se pudo entregar un servicio que ordenó desde 81303, ya que no tiene suficiente crédito. Recibe para recibir el servicio.
",en,"Free msg. Sorry, a service you ordered from 81303 could not be delivered as you do not have sufficient credit. Please top up to receive the service.
"
1700,0,"Ok...
",0,"OK...
",en,"Ok...
"
1701,0,"Please ask mummy to call father
",0,"Por favor pídale a mamá que llame al padre
",en,"Please ask mummy to call father
"
1702,0,"Can come my room but cannot come my house cos my house still messy... Haha...
",0,"Puedo venir mi habitación pero no puedo venir mi casa porque mi casa sigue siendo desordenada ... jaja ...
",en,"Can come my room but cannot come my house cos my house still messy... Haha...
"
1703,0,"I have lost 10 kilos as of today!
",0,"¡He perdido 10 kilos a partir de hoy!
",en,"I have lost 10 kilos as of today!
"
1704,0,"Just taste fish curry :-P
",0,"Solo sabu a Curry de pescado:-P
",en,"Just taste fish curry :-P
"
1705,0,"What can i do? Might accidant tookplace between somewhere ghodbandar rd. Traffic moves slovely. So plz slip &amp; don't worry.
",0,"¿Que puedo hacer? Podría accidentes que tomó lugar entre algún lugar Ghodbandar Rd. El tráfico se mueve lacamente. Entonces, por favor, Slip & amp; no te preocupes.
",en,"What can i do? Might accidant tookplace between somewhere ghodbandar rd. Traffic moves slovely. So plz slip &amp; don't worry.
"
1706,0,"Yun ah.now ü wkg where?btw if ü go nus sc. Ü wana specialise in wad?
",0,"Yun ah.now ü wkg ¿dónde? Por cierto, si ü go nus sc. Ü Wana se especializa en WAD?
",en,"Yun ah.now ü wkg where?btw if ü go nus sc. Ü wana specialise in wad?
"
1707,0,"Yes! I am a one woman man! Please tell me your likes and dislikes in bed...
",0,"¡Sí! ¡Soy una mujer hombre! Por favor, dime tus gustos y disgustos en la cama ...
",en,"Yes! I am a one woman man! Please tell me your likes and dislikes in bed...
"
1708,0,"Was doing my test earlier. I appreciate you. Will call you tomorrow.
",0,"Estaba haciendo mi prueba antes. Te aprecio. Te llamará mañana.
",en,"Was doing my test earlier. I appreciate you. Will call you tomorrow.
"
1709,0,"How's my loverboy doing ? What does he do that keeps him from coming to his Queen, hmmm ? Doesn't he ache to speak to me ? Miss me desparately ?
",0,"¿Cómo está mi amante? ¿Qué hace que le impida venir a su reina, hmmm? ¿No le importa hablarme? ¿Me extrañas desesperadamente?
",en,"How's my loverboy doing ? What does he do that keeps him from coming to his Queen, hmmm ? Doesn't he ache to speak to me ? Miss me desparately ?
"
1710,0,"U meet other fren dun wan meet me ah... Muz b a guy rite...
",0,"Conoces a otros fren dun wan conocerme ah ... muz b un chico rito ...
",en,"U meet other fren dun wan meet me ah... Muz b a guy rite...
"
